species,decimalLongitude.new1,decimalLatitude.new1,States,Biome,Endemism,Inside_State,Inside_Biome,Inside_BR,catalogNumber,data_source,species_id,scientificName.new1,decimalLatitude,decimalLongitude,decimalLatitude.new,decimalLongitude.new,country,country.new,stateProvince.new,municipality.new,locality.new,year.new,family.new1,geo.check,geo.check1,Flagging,cult.check,loc.check1,recordedBy.new,identifiedBy.new,resol.orig,resolution.gazetteer1,Filters_ok,Country_Capital,Province_centroid,IdenticalLongLat,GBIFheadquarter,Biod_inst,Outside_coord,zero_coord,Duplicated,shore,open_sea,wrong_country,Checar_Local,Ano,Filtrador
Araucaria angustifolia,-53.1725006103516,-26.760799407959,MG;PR;RJ;RS;SC;SP,Atlantic_Forest;Pampa,Non-endemic,TRUE,TRUE,,96342,speciesLink,"",Araucaria angustifolia (Bertol.) Kuntze,-26.760799407959,-53.1725006103516,-26.760799407959,-53.1725006103516,Brasil,brazil,santa catarina,no.info,mata do seminario,2005,Araucariaceae,ok_state,ok_state,Checar_local,"",check_local.2state,"Zanotto, M.","Zanotto, M.",locality,state,TRUE,,"","",,"",,,"",,"","",Checar_local,"",Weverton
Araucaria angustifolia,-41.4755556,-20.3763889,MG;PR;RJ;RS;SC;SP,Atlantic_Forest;Pampa,Non-endemic,TRUE,TRUE,,1652,speciesLink,"",Araucaria angustifolia (Bertol.) Kuntze,-20.3763889,-41.4755556,-20.3763889,-41.4755556,Brasil,brazil,espirito santo,no.info,serra do valentim  propriedade sr  aristides,2018,Araucariaceae,ok_state,ok_state,Checar_local,"",check_local.2state,"Couto, D.R.","Couto, D.R.",locality,state,TRUE,,"","",,"",,,"",,"","",Checar_local,"",Weverton
Araucaria angustifolia,-49.237331,-25.442591,MG;PR;RJ;RS;SC;SP,Atlantic_Forest;Pampa,Non-endemic,TRUE,TRUE,,ASU0006922,speciesLink,"",Araucaria angustifolia (Bertol.) Kuntze,-25.442591,-49.237331,-25.442591,-49.237331,Brazil,brazil,parana,no.info,pilarzinho,2001,Araucariaceae,ok_state,ok_state,Checar_local,"",check_local.2state,"Ribas, O.S.","Ribas, O.S.",locality,state,TRUE,,"","",,"",,,"",,"","",Checar_local,"",Weverton
Araucaria angustifolia,-47.060001373291,-22.8999996185303,MG;PR;RJ;RS;SC;SP,Atlantic_Forest;Pampa,Non-endemic,TRUE,TRUE,,144883,speciesLink,"",Araucaria angustifolia (Bertol.) Kuntze,-22.8999996185303,-47.060001373291,-22.8999996185303,-47.060001373291,Brazil,brazil,sao paulo,no.info,entorno da lagoa principal,2005,Araucariaceae,ok_state,ok_state,Checar_local,"",check_local.2state,"Ikemoto, E.",s.n.,locality,state,TRUE,,"","",,"",,,"",,"","",Checar_local,"",Weverton
Araucaria angustifolia,-50.85593,-29.312153,MG;PR;RJ;RS;SC;SP,Atlantic_Forest;Pampa,Non-endemic,TRUE,TRUE,,110891153,gbif,Araucaria angustifolia,Araucaria angustifolia (Bertol.) Kuntze,-29.312153,-50.85593,-29.312153,-50.85593,Brazil,brazil,rio grande do sul,no.info,parque estadual do caracol  canela  rs  br,2022,Araucariaceae,ok_state,ok_state,Checar_local,"",check_local.2state,"Monsores, D.","Friske, T.Q.",locality,state,TRUE,,"","",,"",,,"",,"","",Checar_local,"",Weverton
Araucaria angustifolia,-50.996667,-27.63,MG;PR;RJ;RS;SC;SP,Atlantic_Forest;Pampa,Non-endemic,TRUE,TRUE,,7481,speciesLink,"",Araucaria angustifolia (Bertol.) Kuntze,-27.63,-50.996667,-27.63,-50.996667,Brasil,brazil,santa catarina,no.info,"",2011,Araucariaceae,ok_state,ok_state,Checar_local,"",check_municip.2state,"Guimaraes, F.B.","Guimaraes, F.B.",municipality,state,TRUE,,"","",,"",,,"",,"","",Checar_local,"",Weverton
Araucaria angustifolia,-50.856358,-29.312487,MG;PR;RJ;RS;SC;SP,Atlantic_Forest;Pampa,Non-endemic,TRUE,TRUE,,111025067,gbif,Araucaria angustifolia,Araucaria angustifolia (Bertol.) Kuntze,-29.312487,-50.856358,-29.312487,-50.856358,Brazil,brazil,rio grande do sul,no.info,parque estadual do caracol  canela  rs  br,2022,Araucariaceae,ok_state,ok_state,Checar_local,"",check_local.2state,"Monsores, D.","Friske, T.Q.",locality,state,TRUE,,"","",,"",,,"",,"","",Checar_local,"",Weverton
Araucaria angustifolia,-50.855708,-29.313497,MG;PR;RJ;RS;SC;SP,Atlantic_Forest;Pampa,Non-endemic,TRUE,TRUE,,111375942,gbif,Araucaria angustifolia,Araucaria angustifolia (Bertol.) Kuntze,-29.313497,-50.855708,-29.313497,-50.855708,Brazil,brazil,rio grande do sul,no.info,parque estadual do caracol  canela  rs  br,2022,Araucariaceae,ok_state,ok_state,Checar_local,"",check_local.2state,"Monsores, D.","Werneck, C.",locality,state,TRUE,,"","",,"",,,"",,"","",Checar_local,"",Weverton
Araucaria angustifolia,-51.62693244,-24.63603905,MG;PR;RJ;RS;SC;SP,Atlantic_Forest;Pampa,Non-endemic,TRUE,TRUE,,439422,speciesLink,"",Araucaria angustifolia (Bertol.) Kuntze,,,-24.63603905,-51.62693244,Brazil,brazil,parana,no.info,resgate de flora da pch foz do estrela  canteiro de obras,2019,Araucariaceae,ok_state_gazet,ok_state_gazet,Checar_local|duplicated,"",check_local.2state,"Engels, M.E.","Engels, M.E.",locality,state,TRUE,,"","",,"",,,duplicated,,"","",Checar_local,"",Weverton
Araucaria angustifolia,-48.9911003112793,-24.6571998596191,MG;PR;RJ;RS;SC;SP,Atlantic_Forest;Pampa,Non-endemic,TRUE,TRUE,,415243,speciesLink,"",Araucaria angustifolia (Bertol.) Kuntze,-24.6571998596191,-48.9911003112793,-24.6571998596191,-48.9911003112793,Brazil,brazil,parana,no.info,estrada da berneck a tatupeba,2018,Araucariaceae,ok_state,ok_state,Checar_local,"",check_local.2state,"Brotto, M.L.","Brotto, M.L.",locality,state,TRUE,,"","",,"",,,"",,"","",Checar_local,"",Weverton
